TrialNum,VisType,TruePercent,GuessPercent,Error,AdjError
13,treemap,32,25,7,2.83
14,voronoi,78,85,7,2.83
15,bar,63,60,3,1.64
16,bubble,11,20,9,3.19
17,treemap,66,66,0,-3.0
18,voronoi,87,90,3,1.64
19,bubble,47,60,13,3.71
20,bar,39,40,1,0.17
21,bar,68,66,2,1.09
22,bubble,80,95,15,3.92
23,voronoi,24,15,9,3.19
24,treemap,78,66,12,3.6
25,bar,28,33,5,2.36
26,voronoi,18,25,7,2.83
27,bubble,2,10,8,3.02
28,treemap,53,50,3,1.64
29,treemap,35,33,2,1.09
30,bubble,41,60,19,4.26
31,bar,29,35,6,2.61
32,voronoi,23,20,3,1.64
33,voronoi,61,33,28,4.81
34,bar,25,25,0,-3.0
35,bubble,64,75,11,3.48
36,treemap,83,90,7,2.83
37,voronoi,38,40,2,1.09
38,bar,48,50,2,1.09
39,bubble,39,50,11,3.48
40,treemap,80,85,5,2.36
41,voronoi,6,5,1,0.17
42,bubble,59,75,16,4.01
43,bar,80,80,0,-3.0
44,treemap,46,40,6,2.61
45,voronoi,13,10,3,1.64
46,bar,26,25,1,0.17
47,treemap,1,1,0,-3.0
48,bubble,29,40,11,3.48
49,voronoi,67,60,7,2.83
50,bar,53,55,2,1.09
51,treemap,57,50,7,2.83
52,bubble,69,80,11,3.48
53,treemap,55,40,15,3.92
54,bubble,15,33,18,4.18
55,bar,36,40,4,2.04
56,voronoi,55,70,15,3.92
57,bar,7,10,3,1.64
58,treemap,6,10,4,2.04
59,voronoi,13,15,2,1.09
60,bubble,25,33,8,3.02
61,treemap,63,55,8,3.02
62,bubble,52,75,23,4.53
63,bar,28,33,5,2.36
64,voronoi,99,85,14,3.82
65,bar,34,33,1,0.17
66,treemap,25,20,5,2.36
67,voronoi,70,80,10,3.34
68,bubble,33,40,7,2.83
69,treemap,66,85,19,4.26
70,bar,99,98,1,0.17
71,voronoi,88,90,2,1.09
72,bubble,23,25,2,1.09
73,bar,8,10,2,1.09
74,bubble,100,98,2,1.09
75,voronoi,82,90,8,3.02
76,treemap,51,50,1,0.17
77,voronoi,2,5,3,1.64
78,bubble,2,5,3,1.64
79,bar,18,20,2,1.09
80,treemap,44,50,6,2.61
1,treemap,15,15,0,-3.0
2,voronoi,12,10,2,1.09
3,bubble,55,75,20,4.33
4,bar,78,75,3,1.64
5,voronoi,24,33,9,3.19
6,bubble,6,10,4,2.04
7,bar,83,80,3,1.64
8,treemap,41,40,1,0.17
9,bubble,81,90,9,3.19
10,treemap,46,33,13,3.71
11,voronoi,15,20,5,2.36
12,bar,7,10,3,1.64
13,treemap,34,33,1,0.17
14,bubble,36,25,11,3.48
15,bar,17,20,3,1.64
16,voronoi,85,75,10,3.34
17,bar,37,40,3,1.64
18,voronoi,83,90,7,2.83
19,treemap,85,85,0,-3.0
20,bubble,99,95,4,2.04
21,voronoi,67,90,23,4.53
22,bar,37,45,8,3.02
23,bubble,100,100,0,-3.0
24,treemap,35,33,2,1.09
25,treemap,42,28,14,3.82
26,bar,61,55,6,2.61
27,voronoi,79,90,11,3.48
28,bubble,22,25,3,1.64
29,voronoi,60,60,0,-3.0
30,bar,43,45,2,1.09
31,treemap,76,66,10,3.34
32,bubble,86,90,4,2.04
33,bar,44,45,1,0.17
34,voronoi,85,85,0,-3.0
35,bubble,29,50,21,4.4
36,treemap,8,10,2,1.09
37,voronoi,41,33,8,3.02
38,bar,76,80,4,2.04
39,bubble,8,15,7,2.83
40,treemap,18,12,6,2.61
41,bar,65,70,5,2.36
42,bubble,90,97,7,2.83
43,treemap,59,66,7,2.83
44,voronoi,79,75,4,2.04
45,bubble,100,100,0,-3.0
46,voronoi,26,25,1,0.17
47,bar,33,33,0,-3.0
48,treemap,59,75,16,4.01
49,treemap,48,45,3,1.64
50,bubble,1,5,4,2.04
51,bar,88,90,2,1.09
52,voronoi,85,80,5,2.36
53,bubble,75,90,15,3.92
54,voronoi,4,10,6,2.61
55,bar,88,90,2,1.09
56,treemap,64,80,16,4.01
57,bubble,38,70,32,5.01
58,voronoi,43,50,7,2.83
59,treemap,37,30,7,2.83
60,bar,71,66,5,2.36
61,voronoi,51,50,1,0.17
62,bar,29,25,4,2.04
63,treemap,96,80,16,4.01
64,bubble,35,50,15,3.92
65,treemap,37,33,4,2.04
66,bar,73,65,8,3.02
67,voronoi,29,25,4,2.04
68,bubble,60,85,25,4.65
69,bar,75,75,0,-3.0
70,treemap,72,85,13,3.71
71,voronoi,44,60,16,4.01
72,bubble,70,82,12,3.6
73,bubble,3,5,2,1.09
74,voronoi,58,45,13,3.71
75,bar,32,40,8,3.02
76,treemap,47,45,2,1.09
77,voronoi,63,55,8,3.02
78,bubble,2,5,3,1.64
79,treemap,51,40,11,3.48
80,bar,71,78,7,2.83
1,bubble,90,85,5,2.36
2,voronoi,70,80,10,3.34
3,treemap,43,45,2,1.09
4,bar,86,85,1,0.17
5,bar,57,60,3,1.64
6,treemap,33,40,7,2.83
7,bubble,79,65,14,3.82
8,voronoi,55,50,5,2.36
9,voronoi,80,80,0,-3.0
10,bubble,51,40,11,3.48
11,bar,46,45,1,0.17
12,treemap,86,88,2,1.09
13,bubble,94,95,1,0.17
14,treemap,80,90,10,3.34
15,bar,91,90,1,0.17
16,voronoi,97,85,12,3.6
17,treemap,38,40,2,1.09
18,bubble,34,33,1,0.17
19,voronoi,50,50,0,-3.0
20,bar,26,30,4,2.04
21,bar,82,85,3,1.64
22,treemap,92,94,2,1.09
23,bubble,73,75,2,1.09
24,voronoi,88,85,3,1.64
25,bubble,81,90,9,3.19
26,treemap,33,30,3,1.64
27,voronoi,34,30,4,2.04
28,bar,74,75,1,0.17
29,bubble,31,25,6,2.61
30,bar,89,87,2,1.09
31,treemap,51,45,6,2.61
32,voronoi,62,43,19,4.26
33,bubble,29,33,4,2.04
34,treemap,21,20,1,0.17
35,bar,63,55,8,3.02
36,voronoi,82,60,22,4.47
37,voronoi,7,10,3,1.64
38,bubble,70,75,5,2.36
39,bar,75,85,10,3.34
40,treemap,8,5,3,1.64
41,bubble,95,82,13,3.71
42,voronoi,26,30,4,2.04
43,bar,15,15,0,-3.0
44,treemap,57,45,12,3.6
45,voronoi,41,45,4,2.04
46,bubble,44,60,16,4.01
47,treemap,9,10,1,0.17
48,bar,9,10,1,0.17
49,voronoi,72,66,6,2.61
50,bubble,4,10,6,2.61
51,bar,60,52,8,3.02
52,treemap,49,45,4,2.04
53,voronoi,70,80,10,3.34
54,treemap,82,70,12,3.6
55,bar,2,4,2,1.09
56,bubble,10,10,0,-3.0
57,voronoi,93,80,13,3.71
58,bubble,66,85,19,4.26
59,bar,54,60,6,2.61
60,treemap,51,50,1,0.17
61,voronoi,97,90,7,2.83
62,treemap,92,66,26,4.71
63,bubble,91,95,4,2.04
64,bar,47,47,0,-3.0
65,bubble,82,94,12,3.6
66,bar,37,40,3,1.64
67,voronoi,38,33,5,2.36
68,treemap,9,8,1,0.17
69,voronoi,15,10,5,2.36
70,bar,18,23,5,2.36
71,bubble,77,70,7,2.83
72,treemap,63,63,0,-3.0
73,treemap,78,60,18,4.18
74,bubble,47,55,8,3.02
75,bar,49,50,1,0.17
76,voronoi,4,5,1,0.17
77,voronoi,54,80,26,4.71
78,treemap,2,3,1,0.17
79,bar,49,48,1,0.17
80,bubble,31,40,9,3.19
1,voronoi,58,40,18,4.18
2,treemap,72,66,6,2.61
3,bubble,10,10,0,-3.0
4,bar,85,85,0,-3.0
5,bar,59,55,4,2.04
6,bubble,36,40,4,2.04
7,voronoi,30,30,0,-3.0
8,treemap,79,60,19,4.26
9,voronoi,4,5,1,0.17
10,bar,29,35,6,2.61
11,treemap,75,70,5,2.36
12,bubble,83,80,3,1.64
13,voronoi,46,50,4,2.04
14,bubble,1,4,3,1.64
15,treemap,47,53,6,2.61
16,bar,25,26,1,0.17
17,bar,79,82,3,1.64
18,treemap,42,40,2,1.09
19,voronoi,81,75,6,2.61
20,bubble,48,65,17,4.1
21,voronoi,52,45,7,2.83
22,bar,15,20,5,2.36
23,treemap,36,30,6,2.61
24,bubble,24,25,1,0.17
25,treemap,5,5,0,-3.0
26,voronoi,82,75,7,2.83
27,bubble,56,70,14,3.82
28,bar,88,90,2,1.09
29,treemap,3,1,2,1.09
30,bar,1,2,1,0.17
31,bubble,27,40,13,3.71
32,voronoi,22,30,8,3.02
33,voronoi,64,50,14,3.82
34,treemap,11,10,1,0.17
35,bubble,80,90,10,3.34
36,bar,13,12,1,0.17
37,bar,71,68,3,1.64
38,treemap,28,25,3,1.64
39,bubble,4,10,6,2.61
40,voronoi,20,15,5,2.36
41,treemap,13,10,3,1.64
42,voronoi,14,15,1,0.17
43,bar,59,55,4,2.04
44,bubble,36,45,9,3.19
45,bubble,52,50,2,1.09
46,bar,42,46,4,2.04
47,voronoi,33,20,13,3.71
48,treemap,78,90,12,3.6
49,bubble,48,40,8,3.02
50,treemap,28,25,3,1.64
51,bar,66,60,6,2.61
52,voronoi,47,40,7,2.83
53,voronoi,75,75,0,-3.0
54,treemap,91,80,11,3.48
55,bubble,87,90,3,1.64
56,bar,8,15,7,2.83
57,treemap,5,5,0,-3.0
58,bubble,67,95,28,4.81
59,voronoi,56,33,23,4.53
60,bar,55,60,5,2.36
61,treemap,17,10,7,2.83
62,voronoi,22,20,2,1.09
63,bubble,32,40,8,3.02
64,bar,53,53,0,-3.0
65,treemap,14,15,1,0.17
66,bar,63,66,3,1.64
67,bubble,60,60,0,-3.0
68,voronoi,64,55,9,3.19
69,bubble,4,10,6,2.61
70,treemap,71,60,11,3.48
71,bar,55,52,3,1.64
72,voronoi,8,15,7,2.83
73,bubble,18,20,2,1.09
74,treemap,78,90,12,3.6
75,bar,2,3,1,0.17
76,voronoi,20,15,5,2.36
77,bubble,91,90,1,0.17
78,bar,79,80,1,0.17
79,voronoi,48,60,12,3.6
80,treemap,92,95,3,1.64
1,treemap,86,90,4,2.04
2,bubble,27,20,7,2.83
3,bar,30,33,3,1.64
4,voronoi,94,95,1,0.17
5,bar,35,40,5,2.36
6,voronoi,68,70,2,1.09
7,bubble,50,60,10,3.34
8,treemap,54,50,4,2.04
9,treemap,45,43,2,1.09
10,bubble,63,75,12,3.6
11,bar,83,82,1,0.17
12,voronoi,4,5,1,0.17
13,bar,13,15,2,1.09
14,treemap,40,28,12,3.6
15,voronoi,60,70,10,3.34
16,bubble,16,15,1,0.17
17,treemap,28,30,2,1.09
18,voronoi,13,15,2,1.09
19,bubble,57,75,18,4.18
20,bar,7,8,1,0.17
21,bar,7,5,2,1.09
22,bubble,46,50,4,2.04
23,voronoi,57,65,8,3.02
24,treemap,91,85,6,2.61
25,treemap,47,60,13,3.71
26,voronoi,40,55,15,3.92
27,bar,88,90,2,1.09
28,bubble,100,95,5,2.36
29,bubble,42,50,8,3.02
30,treemap,70,55,15,3.92
31,voronoi,24,27,3,1.64
32,bar,84,88,4,2.04
33,bar,80,76,4,2.04
34,treemap,98,90,8,3.02
35,voronoi,7,10,3,1.64
36,bubble,38,50,12,3.6
37,treemap,33,28,5,2.36
38,voronoi,51,45,6,2.61
39,bubble,97,100,3,1.64
40,bar,9,15,6,2.61
41,bubble,46,50,4,2.04
42,treemap,95,90,5,2.36
43,voronoi,15,10,5,2.36
44,bar,83,90,7,2.83
45,bar,33,33,0,-3.0
46,voronoi,88,85,3,1.64
47,bubble,87,90,3,1.64
48,treemap,22,13,9,3.19
49,bar,94,95,1,0.17
50,voronoi,91,90,1,0.17
51,treemap,43,47,4,2.04
52,bubble,88,90,2,1.09
53,bubble,14,15,1,0.17
54,treemap,76,80,4,2.04
55,voronoi,29,30,1,0.17
56,bar,41,45,4,2.04
57,voronoi,15,20,5,2.36
58,treemap,24,20,4,2.04
59,bubble,75,90,15,3.92
60,bar,23,25,2,1.09
61,bubble,84,90,6,2.61
